x, y, th, stamp, 
-0.5694568157196045, -13.625900268554688, -1.6907493894901775, 1759176330315774564, 
-0.5731354355812073, -13.656194686889648, -1.690874320067998, 1759176330382723157, 
-0.5753694772720337, -13.675241470336914, -1.6898650270729603, 1759176330427182824, 
-0.5778571963310242, -13.697980880737305, -1.6882602813347503, 1759176330476149852, 
-0.5804895758628845, -13.720314979553223, -1.6882602813347503, 1759176330526002874, 
-0.5832354426383972, -13.742813110351562, -1.6880712186834315, 1759176330577232208, 
-0.5857058763504028, -13.764030456542969, -1.6883810715206398, 1759176330623124197, 
-0.5880166888237, -13.783258438110352, -1.6883810715206398, 1759176330666247454, 
-0.5907673239707947, -13.805949211120605, -1.6877836503779458, 1759176330715811208, 
-0.5934615135192871, -13.828347206115723, -1.6882299477195493, 1759176330766562319, 
-0.5967931151390076, -13.85531234741211, -1.688679372075735, 1759176330826876094, 
-0.5991045832633972, -13.877596855163574, -1.6900354860420952, 1759176330877113082, 
-0.60200035572052, -13.90048885345459, -1.689323617233006, 1759176330926017163, 
-0.6044964790344238, -13.922683715820312, -1.6877957497519798, 1759176330977996802, 
-0.6070320010185242, -13.943684577941895, -1.6875383700612858, 1759176331023379626, 
-0.6092197895050049, -13.963255882263184, -1.6873969015067407, 1759176331066020435, 
-0.6130536198616028, -13.994524955749512, -1.687752867130526, 1759176331138314295, 
-0.6144983172416687, -14.008319854736328, -1.687752867130526, 1759176331166373194, 
-0.6175767779350281, -14.035183906555176, -1.687749598953735, 1759176331226919039, 
-0.6201911568641663, -14.057977676391602, -1.6877418736794876, 1759176331276152179, 
-0.6229838132858276, -14.079951286315918, -1.6872340996984148, 1759176331326016561, 
-0.6254092454910278, -14.101016998291016, -1.6873874482513052, 1759176331374058393, 
-0.6281953454017639, -14.123613357543945, -1.6857684151522345, 1759176331424144687, 
-0.630471408367157, -14.142948150634766, -1.6855068709606595, 1759176331466796111, 
-0.6327974200248718, -14.165468215942383, -1.6844540318927599, 1759176331516312458, 
-0.6361497640609741, -14.195443153381348, -1.6834516326616005, 1759176331583772602, 
-0.6377786993980408, -14.209047317504883, -1.6834768900906392, 1759176331614387398, 
-0.640805184841156, -14.237195014953613, -1.6841823395206779, 1759176331675998410, 
-0.643513560295105, -14.259602546691895, -1.6842805352624106, 1759176331727102173, 
-0.6459058523178101, -14.281488418579102, -1.6854326965782285, 1759176331775174808, 
-0.6487029790878296, -14.30426025390625, -1.6848639487007717, 1759176331825302168, 
-0.6507917642593384, -14.322176933288574, -1.684957504160686, 1759176331867020753, 
-0.6532727479934692, -14.344582557678223, -1.6846916298343286, 1759176331917635439, 
-0.6558370590209961, -14.367152214050293, -1.684020852768389, 1759176331968320735, 
-0.6588658094406128, -14.39403247833252, -1.6827722977683501, 1759176332028084496, 
-0.661493182182312, -14.416830062866211, -1.682132317807015, 1759176332077992403, 
-0.664132833480835, -14.438796997070312, -1.6814738432896403, 1759176332128016265, 
-0.6665388345718384, -14.460536003112793, -1.6821284759058053, 1759176332175096298, 
-0.6690161824226379, -14.482569694519043, -1.6820402922267463, 1759176332225116459, 
-0.6711580753326416, -14.501973152160645, -1.6825324857782653, 1759176332268336129, 
-0.6737796664237976, -14.52437973022461, -1.682069568122711, 1759176332317680437, 
-0.676274836063385, -14.54634952545166, -1.6812063656333793, 1759176332366186355, 
-0.6790282130241394, -14.573369026184082, -1.6814354160841885, 1759176332427086626, 
-0.6815871000289917, -14.595820426940918, -1.6804262115280384, 1759176332477407476, 
-0.6840769052505493, -14.618178367614746, -1.6796758833011542, 1759176332526133474, 
-0.6865763068199158, -14.640722274780273, -1.6785920105707415, 1759176332576522826, 
-0.6907894611358643, -14.680975914001465, -1.677706163413275, 1759176332667053648, 
-0.6941437125205994, -14.712302207946777, -1.6781418853474421, 1759176332736688992, 
-0.6967088580131531, -14.734809875488281, -1.6787548947084245, 1759176332787609217, 
-0.6981528401374817, -14.748376846313477, -1.6787548947084245, 1759176332816363774, 
-0.7010875344276428, -14.775066375732422, -1.6766228287686373, 1759176332877648616, 
-0.7033297419548035, -14.797126770019531, -1.6766228287686373, 1759176332926339560, 
-0.7055220603942871, -14.81966781616211, -1.6766228287686373, 1759176332976313599, 
-0.7079235315322876, -14.842181205749512, -1.6756661015451493, 1759176333026832511, 
-0.7106218338012695, -14.868866920471191, -1.6739852209145891, 1759176333086874663, 
-0.7129135131835938, -14.89141845703125, -1.6736333297446913, 1759176333136695452, 
-0.7142800092697144, -14.904459953308105, -1.6732769476313312, 1759176333165843232, 
-0.7173420190811157, -14.931702613830566, -1.6743357266107073, 1759176333226800589, 
-0.7197401523590088, -14.953536987304688, -1.673910422364431, 1759176333278293295, 
-0.7218682765960693, -14.976152420043945, -1.673910422364431, 1759176333326844698, 
-0.7243458032608032, -14.998785972595215, -1.6722734450008456, 1759176333376372582, 
-0.726651132106781, -15.02113151550293, -1.6712028075766832, 1759176333427677561, 
-0.728455662727356, -15.03898811340332, -1.6712028075766832, 1759176333467596597, 
-0.7306459546089172, -15.061192512512207, -1.6715452721028876, 1759176333518447980, 
